,Braak
hsa-miR-214-3p,-0.19158814876840308
hsa-miR-323a-3p,-0.1914368367552076
hsa-miR-181c-3p,-0.19071077376070728
hsa-miR-1277-5p,0.18952367173117565
hsa-miR-5010-3p,-0.1878333761688406
hsa-let-7b-3p,-0.18584648033444215
hsa-miR-497-5p,-0.1856688954399658
hsa-miR-330-5p,0.18563113437025539
hsa-miR-6511a-3p,-0.1843565528106518
hsa-miR-128-3p,0.18341387315190594
hsa-miR-151b,0.18264460602841678
hsa-miR-1271-5p,-0.18036930757732902
hsa-miR-299-3p,0.1779519700174263
hsa-miR-150-5p,-0.17723022415285694
hsa-miR-219a-2-3p,0.17710924831366118
hsa-miR-299-5p,-0.1769763288179371
hsa-miR-744-3p,-0.1769697754535375
hsa-miR-493-3p,0.17520982298881974
hsa-let-7g-5p,0.1746224056738355
hsa-miR-382-3p,0.17337139143239866
hsa-miR-30d-3p,0.17237338124170568
hsa-miR-532-5p,0.17184828612627198
hsa-miR-15b-5p,-0.1707621035559461
hsa-miR-500a-3p,-0.16973404067180184
hsa-miR-654-5p,-0.16950741427685867
hsa-miR-409-3p,-0.16674697085050783
hsa-miR-182-5p,0.16630243700114095
hsa-miR-223-3p,0.16609715222393062
hsa-miR-424-3p,-0.16575478562176726
hsa-miR-488-3p,0.16352286959763668
hsa-miR-548aa,0.16279076050504784
hsa-miR-424-5p,0.16089579552666897
hsa-miR-200c-3p,0.1607742989991872
hsa-miR-23c,0.16018119359817481
hsa-miR-1248,-0.15951250473299308
hsa-miR-548t-3p,0.15694346041429655
hsa-miR-582-5p,-0.15643650012521718
hsa-miR-1250-5p,-0.15364897865383947
hsa-miR-323b-3p,-0.15177205064016128
hsa-miR-185-5p,0.1507774381103665
hsa-miR-181a-5p,-0.1505195093377819
hsa-miR-1299,0.14968807781302296
hsa-miR-23a-3p,0.14948908056144142
hsa-let-7c-3p,0.14893407540401876
hsa-miR-505-3p,-0.14468121333646256
hsa-miR-1185-5p,-0.14413748028044465
hsa-miR-125a-3p,-0.14049413980460201
hsa-miR-20b-5p,0.13983144051476448
hsa-miR-1298-3p,-0.13945638726920828
hsa-miR-23b-5p,-0.1381244166392527
hsa-miR-34b-3p,0.135721628299665
hsa-miR-455-3p,0.1345346666723923
hsa-miR-135a-5p,0.1341515496291182
hsa-miR-548h-3p,-0.1340955459984652
hsa-miR-4705,0.13334607079384003
hsa-miR-199a-3p,0.13280718918687634
hsa-miR-199b-3p,0.1320617732580566
hsa-miR-1270,-0.13154183282659823
hsa-miR-500b-5p,-0.13118980599942814
hsa-miR-154-5p,0.13047637411431467
hsa-miR-181a-3p,0.1304296873400443
hsa-miR-221-5p,-0.12966204188161384
hsa-miR-548z,-0.1244914633851594
hsa-miR-34c-5p,0.12390499138140709
hsa-miR-767-5p,-0.12388903261435603
hsa-miR-124-3p,-0.12265014234540961
hsa-miR-320c,0.12115806249146277
hsa-miR-29c-5p,-0.12095473267384506
hsa-miR-452-5p,0.12090480896406296
hsa-miR-7977,-0.1184100975209141
hsa-miR-2113,0.11839105099827174
hsa-miR-584-5p,0.11669100921451384
hsa-miR-17-3p,-0.11665402790186485
hsa-miR-582-3p,0.11590474154767222
hsa-miR-2681-3p,0.11532997286937398
hsa-miR-211-5p,0.11500713827550314
hsa-miR-143-5p,0.11436828955764583
hsa-miR-494-3p,0.11349589314946758
hsa-miR-381-3p,0.11293831200503518
hsa-miR-99a-3p,-0.11236260863842999
hsa-miR-29a-3p,-0.11178675307153367
hsa-miR-33b-5p,0.11156925988070704
hsa-miR-342-3p,0.111213855960564
hsa-miR-885-5p,-0.1104802695776188
hsa-miR-1307-5p,-0.11027526353090056
hsa-miR-3085-3p,-0.10922334083409649
hsa-miR-331-5p,0.10825664457001088
hsa-miR-95-3p,0.10804331099462205
hsa-miR-30c-2-3p,0.10669830279509558
hsa-miR-183-5p,-0.1062165375004546
hsa-miR-4454,0.1061274511992155
